trade_date,ts_code,trade_date,close,open,high,low,Z_close,Z_open,Z_high,Z_low
2007-01-04,000001.SH,20070104,2715.719,2728.188,2847.615,2684.818,3.4399702477024414,3.478942319097065,3.8522134371053833,3.343388647079676
2007-01-05,000001.SH,20070105,2641.334,2668.577,2685.804,2617.019,3.13962386205593,3.223460371825801,3.276474047037985,3.0647978614299203
2007-01-08,000001.SH,20070108,2707.199,2621.068,2708.444,2620.625,3.2660328286536533,3.005530985902047,3.2697983113976794,3.004191139431682
2007-01-09,000001.SH,20070109,2807.804,2711.049,2809.394,2691.36,3.478913856221993,3.19215448021108,3.4836262473941004,3.133800851413821
2007-01-10,000001.SH,20070110,2825.576,2838.113,2841.741,2770.988,3.442538633770616,3.4789635465450766,3.4895043125613285,3.283939037493014
2007-01-11,000001.SH,20070111,2770.11,2819.367,2841.18,2763.886,3.208129273893037,3.3488487474811985,3.4111650452130644,3.1903482883759993
2007-01-12,000001.SH,20070112,2668.11,2745.321,2782.025,2652.578,2.8629278703431544,3.0807178907897264,3.184249316499418,2.819116566285751
2007-01-15,000001.SH,20070115,2794.701,2660.07,2795.331,2658.879,3.14996417558557,2.776338617398369,3.151712540387569,2.773033375367922
2007-01-16,000001.SH,20070116,2821.017,2818.663,2830.803,2757.205,3.1526151390868713,3.1461884770198414,3.1793319254029133,2.9784018171576627
2007-01-17,000001.SH,20070117,2778.9,2828.401,2870.422,2742.588,2.9771347023542214,3.1103505314893947,3.223436375332734,2.87941277375568
2007-01-18,000001.SH,20070118,2756.983,2760.944,2784.043,2679.705,2.8639979358456773,2.8745213186540695,2.935889563918159,2.6586896862453355
2007-01-19,000001.SH,20070119,2832.207,2761.886,2833.454,2761.886,3.0015717575295207,2.817498133762906,3.0048359290975735,2.817498133762906
2007-01-22,000001.SH,20070122,2933.19,2857.896,2934.647,2857.896,3.1914692222735623,2.9978010622953852,3.195216858328071,2.9978010622953852
2007-01-23,000001.SH,20070123,2949.144,2964.687,2970.685,2851.919,3.1596743066263686,3.198968471987305,3.2141319799223815,2.913880365481351
2007-01-24,000001.SH,20070124,2975.129,2955.424,2994.282,2927.721,3.152742856019619,3.1037804963155557,3.200333623612207,3.034944959604991
2007-01-25,000001.SH,20070125,2857.365,2946.504,2947.149,2853.822,2.807000872734216,3.0256100816717217,3.027191913863744,2.798311831716642
2007-01-26,000001.SH,20070126,2882.558,2805.956,2905.984,2720.827,2.8154706637486213,2.6300477764349663,2.8721756656834234,2.423984423335515
2007-01-29,000001.SH,20070129,2945.263,2897.254,2954.336,2885.861,2.9086757861150665,2.7941220466346572,2.9303247702285815,2.766937336394904
2007-01-30,000001.SH,20070130,2930.562,2959.398,2980.51,2901.762,2.8198018712378454,2.887701420486873,2.937413422281348,2.751987090464785
2007-01-31,000001.SH,20070131,2786.335,2926.075,2929.646,2766.747,2.4434095500274666,2.76951789431994,2.7778514630723987,2.39769744005179
